Index,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25
ERLEC1,4.598767,4.476605,4.80196,4.716333,4.640981,4.913695,4.55541,4.732378,5.232641,4.907729,4.938898,4.85567,5.612027,4.617568,4.753665,3.953358,4.67147,4.778807,4.921904,4.810834,4.73235,4.864623,4.854764,4.790286,4.919574
SKP2,3.216151,3.222281,3.22618,3.216272,3.253222,3.213692,3.215004,3.224579,3.208747,3.232251,3.229291,3.211704,3.225518,3.215929,3.223492,3.24512,3.224011,3.220164,3.227579,3.250009,3.228544,3.227346,3.218385,3.222754,3.239752
SLC12A8,7.121151,7.834901,7.282135,8.133724,7.99164,7.546059,7.823816,8.56952,8.590706,7.627017,7.470031,7.469613,7.97718,7.576457,8.387547,6.783003,7.937683,6.946752,7.53404,7.623627,7.675775,7.539966,7.969537,7.350823,7.896626
NLRP7,4.481104,4.692296,4.71409,4.453122,4.524999,4.521997,4.311501,4.67414,4.56793,4.488448,4.5347,4.807826,5.027853,4.664357,4.889539,4.951567,4.764163,4.511782,4.726853,4.643472,4.510529,4.812049,4.648633,4.541664,4.879508
NPHS1,3.811502,3.751956,3.731103,3.802445,3.804585,3.76772,3.77471,3.675658,3.704491,3.708562,3.784994,3.787468,3.768619,3.910566,3.774998,3.918141,3.811164,3.789521,3.750772,3.778641,3.751448,3.737999,3.705633,3.940381,3.740526
ZNF100,3.400204,3.308098,3.445939,3.480636,3.481888,3.463431,3.456481,3.449444,3.778457,3.489746,3.411937,3.469189,3.456226,3.303199,3.480068,3.376274,3.41731,3.342743,3.437804,3.39249,3.418857,3.439798,3.47413,3.411064,3.448459
PGF,3.789356,4.010248,4.048874,4.121694,3.980735,4.076292,3.682895,4.001465,4.427858,3.987401,3.779806,3.946794,4.046159,3.86462,3.9577,3.547854,3.810502,3.646027,3.80789,3.711826,3.605186,3.787778,3.801568,3.708964,3.988227
CBR3,3.506044,3.470617,3.573334,3.459796,3.527073,3.467218,3.573653,3.472517,3.718057,3.545064,3.515635,3.599773,3.525959,3.512395,3.513748,3.482053,3.593956,3.508568,3.531637,3.486993,3.566502,3.509582,3.512923,3.447336,3.572364
PRICKLE1,3.337841,3.219988,3.276356,3.240118,3.22013,3.216262,3.228042,3.292307,3.217814,3.229595,3.216648,3.21308,3.230115,3.220752,3.219034,3.228723,3.223602,3.219346,3.248363,3.222345,3.225935,3.220041,3.210633,3.221846,3.223665
SCN2B,3.344425,3.948253,3.275397,3.9058,3.777435,3.810654,3.458512,3.92557,4.367497,3.747499,3.505194,3.44192,3.352865,3.348495,3.89945,3.419581,3.260303,3.292157,3.298141,3.261813,3.334994,3.372749,3.3312,3.259598,3.445395
