,ind002,ind003,ind005,ind006,ind011,ind012,ind017,ind024,ind027,ind028,ind030,ind032,ind033,ind036,ind037,ind039,ind040,ind041,ind042,ind043,ind044,ind048,ind050,ind053,ind056,ind058,ind062,ind065,ind066,ind067,ind068,ind069,ind080,ind084,ind085,ind093,ind094,ind095,ind096,ind097,ind098,ind099,ind100
DIABLO,7.897920386,7.702069603,7.971447186,7.75698324,7.647499873,8.145821221,7.589870561,7.521257817,7.736503811,7.705882174,7.737607556,7.781455059,7.764540959,7.59043028,7.894294848,7.876972018,7.996890227,7.994199525,7.916558937,7.975277981,7.405526658,7.76702995,7.852621554,7.873737239,8.175787857,7.674407267,7.963932007,7.923913131,8.01599984,7.999862753,7.996588976,7.959326731,7.991796312,8.159821315,7.843461338,7.629979476,7.394762662,7.560470037,7.908244575,7.711331267,8.033066486,7.698689991,7.860053425
NLRP7,5.595072764,4.890880844,4.951685118,5.733647535,5.027160686,5.1471061,5.343608157,5.680101515,5.586051747,4.858410767,5.272572803,5.712254306,6.049113687,5.377198425,5.055197738,5.093417879,4.996872168,4.701576446,5.024934256,4.971485511,5.174472534,6.570510574,5.353015952,5.055898229,5.053741189,5.536546819,5.971497423,4.87825292,6.082845268,4.979645906,4.546951415,6.47576294,4.770933916,4.971848573,4.733371119,4.997260398,4.685931901,4.543832416,4.873983596,5.503359224,5.548438463,6.698395139,4.616514498
CBR3,6.891674705,6.470169675,6.044532204,7.342236475,7.573165848,6.103042817,6.008618584,6.563279122,6.670787813,6.807993406,6.912348027,7.146400002,7.035226971,6.113739723,5.94114818,7.286175713,7.5547354,5.313425755,5.641705864,5.941970096,6.449159046,5.711079868,6.336606334,5.848374773,5.980309774,6.49256636,6.065952116,5.259244296,7.185660679,6.0357897,5.348801239,5.521932651,6.288603358,6.28230666,5.58567764,6.453487806,6.247453513,6.799956472,6.907431758,6.835609396,6.540721737,6.188931925,6.858612193
PRAMEF1,5.636612899,4.987359713,5.011190909,5.012441921,5.027160686,5.232888316,5.097985897,5.373418558,5.005432046,5.378488827,5.168338285,5.256729942,5.057450681,5.490543141,5.425875143,5.300081337,5.31830758,5.071964639,5.385738789,5.36261563,5.480116882,5.597556961,5.459133465,5.626140518,5.300895079,5.462377304,5.509155437,5.40020284,5.408303438,5.59463277,5.331953241,5.30072505,5.279185657,5.267015885,5.3292812,5.497045374,5.310723284,5.562632334,5.373457959,5.359012119,5.24750672,5.226786019,5.521326312
SERPINA7,4.256083234,4.011348063,4.215683691,4.961007533,4.469839452,4.274965099,4.28618994,3.720779176,3.974818802,4.076262588,4.209953618,3.766705226,4.025925477,4.617033859,4.429807058,4.346674892,4.748124194,4.81597715,4.444642714,3.95526875,4.375804993,4.460777444,4.307060264,4.101217798,4.439531775,4.433109571,4.010871748,4.515527816,4.795730475,3.809202439,4.967131261,4.998143993,4.161141119,4.556543162,3.729314618,4.261154813,4.005734078,4.523781841,4.643123228,4.391331463,4.116466384,4.343285,4.009080045
EP300,7.399235866,7.613269171,7.191514719,7.338819705,7.576902108,7.647353325,7.517789199,7.431546297,7.332346381,7.160300752,7.598068529,7.545923442,7.230556944,7.662601646,7.522977464,7.638239139,6.992314608,7.246035573,6.883347654,7.578269026,7.732378659,7.821201393,8.236737869,8.205066371,8.269578696,7.665074593,7.529010822,7.386845946,7.301037097,7.375407719,7.457596059,7.474931399,6.951927306,5.606213317,6.016639593,5.84198631,7.307713839,5.880510142,6.172967436,6.274039137,7.017032449,6.972767279,6.646059943
UBB,13.42563452,13.36824053,13.59153955,13.4082966,13.52557094,13.387337,13.2337712,13.00792307,13.17179311,13.12307087,13.32388295,13.3276181,13.48952549,13.25050963,13.2075294,13.4796409,13.41334329,13.61936632,13.44780842,13.37396321,13.38791842,13.36286889,13.51255379,13.6247267,13.43150841,13.23759411,13.42161547,13.60581597,13.36470092,13.54937367,13.7012442,13.24843624,12.97433007,13.71716756,13.69594934,13.70302263,13.40484539,13.81576855,13.55054519,13.3401677,13.34178206,13.39229525,13.3783364
TREX1,5.041452856,4.774836318,5.26573214,5.142021543,5.107185999,4.986543252,4.854879176,5.037008184,5.014471849,5.162401773,5.013118226,4.937249831,5.162687081,5.431734099,5.120480481,5.217658552,4.987786002,5.26284841,5.639203125,5.004377579,5.383861666,4.936027896,5.054084228,5.237451143,5.214796687,4.756851262,5.01701224,5.451365499,4.705247703,5.159575062,5.587058187,5.058940781,5.202926222,5.185527827,5.439136078,4.825102381,4.992299985,5.236582222,5.1244471,5.167807327,4.926100253,5.145925691,4.983972569
TK1,7.299945772,6.497997386,7.172526163,8.470740543,7.715728742,8.119543639,7.358463789,7.658816326,8.550123006,8.550479574,8.283195452,8.618692278,8.684827394,7.408249953,7.897200401,8.330873691,8.991166146,5.74134281,7.196713497,8.054365256,7.347067436,8.309489061,7.939966281,6.390197889,7.709037774,8.149324185,8.243611995,6.273275664,9.564260228,7.943011924,7.314057945,8.856577843,8.318714296,8.174290979,7.479108794,7.528503578,6.325665224,7.495301146,7.943906379,8.830863194,7.232822145,7.982536994,7.904152133
RAD52,5.550023603,5.303048941,5.532084887,5.486472992,5.521705445,5.535502535,5.709247583,5.202823856,5.705973255,5.405832208,5.198678953,5.374892614,5.393144126,5.092558526,5.593957883,5.579971471,5.963278442,6.280715338,5.848819412,5.500934676,5.658234536,5.680257008,5.667705294,5.651267518,5.564404341,5.572118521,5.669072116,6.089425766,5.656227842,5.560866519,5.821184923,5.906608699,5.840420847,5.520888113,5.63562814,5.616454407,5.832068598,5.666760996,5.582828123,5.420332465,5.651735219,5.516649707,5.611947177
